StudentId,P-104,ECTS_P-104,PolozioDatum_P-104,P-12,ECTS_P-12,PolozioDatum_P-12,P-140,ECTS_P-140,PolozioDatum_P-140,P-141,ECTS_P-141,PolozioDatum_P-141,P-142,ECTS_P-142,PolozioDatum_P-142,P-143,ECTS_P-143,PolozioDatum_P-143,P-149,ECTS_P-149,PolozioDatum_P-149,P-175,ECTS_P-175,PolozioDatum_P-175,P-176,ECTS_P-176,PolozioDatum_P-176,P-178,ECTS_P-178,PolozioDatum_P-178,P-218,ECTS_P-218,PolozioDatum_P-218,P-219,ECTS_P-219,PolozioDatum_P-219,P-220,ECTS_P-220,PolozioDatum_P-220,P-221,ECTS_P-221,PolozioDatum_P-221,P-222,ECTS_P-222,PolozioDatum_P-222,P-223,ECTS_P-223,PolozioDatum_P-223,P-224,ECTS_P-224,PolozioDatum_P-224,P-246,ECTS_P-246,PolozioDatum_P-246,P-58,ECTS_P-58,PolozioDatum_P-58,P-8,ECTS_P-8,PolozioDatum_P-8,Godina,DatumUpisa,SrednjaSkola,GodinaZavrsetka,NacinStudiranja,Diplomirao,Spol,ProsjecnaOcjena_P-104,ProsjecnaOcjena_P-12,ProsjecnaOcjena_P-140,ProsjecnaOcjena_P-141,ProsjecnaOcjena_P-142,ProsjecnaOcjena_P-143,ProsjecnaOcjena_P-149,ProsjecnaOcjena_P-175,ProsjecnaOcjena_P-176,ProsjecnaOcjena_P-178,ProsjecnaOcjena_P-218,ProsjecnaOcjena_P-219,ProsjecnaOcjena_P-220,ProsjecnaOcjena_P-221,ProsjecnaOcjena_P-222,ProsjecnaOcjena_P-223,ProsjecnaOcjena_P-224,ProsjecnaOcjena_P-246,ProsjecnaOcjena_P-58,ProsjecnaOcjena_P-8
16320,,,,8,3,6/17/2019,,,,,,,,,,,,,5,5,,7,7,6/29/2019,6,7,9/18/2019,,,,7,5,1/23/2019,6,7,2/13/2019,7,7,1/31/2019,5,6,,6,4,6/18/2019,,,,,,,8,4,1/22/2019,6,5,7/15/2019,,,,1,7/17/2018,Elektrotehnièka,2017/2018,DL,0,M,,2.666666667,,,,,1,1,0.857142857,,1.4,0.857142857,1,0.833333333,1.5,,,2,1.2,
16321,,,,9,3,6/17/2019,,,,,,,,,,,,,5,5,,7,7,8/24/2019,5,7,,,,,7,5,1/23/2019,6,7,10/3/2019,6,7,1/31/2019,6,6,9/5/2019,6,4,6/18/2019,,,,,,,9,4,1/22/2019,8,5,9/20/2019,,,,1,7/17/2018,Elektrotehnièka,2017/2018,DL,0,M,,3,,,,,1,1,0.714285714,,1.4,0.857142857,0.857142857,1,1.5,,,2.25,1.6,
16322,,,,8,3,6/17/2019,,,,,,,,,,,,,6,5,9/14/2019,6,7,2/9/2019,7,7,6/24/2020,,,,7,5,,7,7,1/30/2019,6,7,1/31/2019,9,6,6/25/2019,7,4,6/18/2019,,,,,,,8,4,1/22/2019,7,5,6/27/2019,,,,1,7/17/2018,Mašinska,2017/2018,Redovan samofinansirajuæi,0,M,,2.666666667,,,,,1.2,0.857142857,1,,1.4,1,0.857142857,1.5,1.75,,,2,1.4,
16323,,,,7,3,6/17/2019,,,,,,,,,,,,,10,5,7/6/2019,10,7,1/26/2019,7,7,9/4/2019,,,,8,5,1/23/2019,6,7,1/30/2019,8,7,1/31/2019,6,6,6/25/2019,9,4,6/18/2019,,,,,,,7,4,1/22/2019,6,5,6/27/2019,,,,1,7/17/2018,Gimnazija,2017/2018,Redovan samofinansirajuæi,1,M,,2.333333333,,,,,2,1.428571429,1,,1.6,0.857142857,1.142857143,1,2.25,,,1.75,1.2,
16324,,,,9,3,6/17/2019,,,,,,,,,,,,,7,5,7/25/2020,6,7,8/24/2019,8,7,9/15/2020,,,,7,5,1/23/2019,7,7,1/30/2019,6,7,1/31/2019,7,6,6/25/2019,10,4,6/18/2019,,,,,,,10,4,1/22/2019,8,5,7/15/2019,,,,1,7/17/2018,Gimnazija,2017/2018,Redovan samofinansirajuæi,0,Ž,,3,,,,,1.4,0.857142857,1.142857143,,1.4,1,0.857142857,1.166666667,2.5,,,2.5,1.6,
16325,,,,8,3,7/1/2019,,,,,,,,,,,,,5,5,,7,7,9/7/2019,6,7,7/19/2022,,,,7,5,1/23/2019,8,7,8/30/2019,6,7,2/14/2019,6,6,6/25/2019,8,4,9/21/2019,,,,,,,9,4,1/22/2019,6,5,9/20/2019,,,,1,7/17/2018,Gimnazija,2017/2018,DL,0,Ž,,2.666666667,,,,,1,1,0.857142857,,1.4,1.142857143,0.857142857,1,2,,,2.25,1.2,
16326,,,,10,3,6/17/2019,,,,,,,,,,,,,10,5,6/22/2019,8,7,1/26/2019,9,7,9/15/2020,,,,8,5,1/23/2019,8,7,2/13/2019,8,7,1/31/2019,8,6,7/9/2019,9,4,6/18/2019,,,,,,,10,4,1/22/2019,8,5,6/27/2019,,,,1,7/17/2018,Gimnazija,2017/2018,Redovan samofinansirajuæi,0,M,,3.333333333,,,,,2,1.142857143,1.285714286,,1.6,1.142857143,1.142857143,1.333333333,2.25,,,2.5,1.6,
16327,,,,8,3,6/17/2019,,,,,,,,,,,,,9,5,7/4/2020,7,7,6/29/2019,7,7,8/31/2020,,,,8,5,1/23/2019,8,7,2/13/2019,7,7,1/31/2019,9,6,6/25/2019,9,4,6/18/2019,,,,,,,9,4,1/22/2019,6,5,6/27/2019,,,,1,7/17/2018,Gimnazija,2017/2018,DL,1,Ž,,2.666666667,,,,,1.8,1,1,,1.6,1.142857143,1,1.5,2.25,,,2.25,1.2,
16328,,,,9,3,6/17/2019,,,,,,,,,,,,,5,5,,8,7,8/24/2019,7,7,9/6/2022,,,,8,5,1/23/2019,7,7,8/30/2019,7,7,2/14/2019,7,6,6/25/2019,9,4,6/18/2019,,,,,,,10,4,1/22/2019,8,5,7/15/2019,,,,1,7/17/2018,Gimnazija,2017/2018,DL,0,Ž,,3,,,,,1,1.142857143,1,,1.6,1,1,1.166666667,2.25,,,2.5,1.6,
16329,,,,7,3,6/17/2019,,,,,,,,,,,,,6,5,6/22/2019,10,7,2/9/2019,6,7,9/4/2019,,,,8,5,1/23/2019,6,7,1/30/2019,6,7,1/31/2019,8,6,6/25/2019,6,4,9/2/2019,,,,,,,7,4,1/22/2019,7,5,6/27/2019,,,,1,7/17/2018,Gimnazija,2017/2018,DL,1,M,,2.333333333,,,,,1.2,1.428571429,0.857142857,,1.6,0.857142857,0.857142857,1.333333333,1.5,,,1.75,1.4,
