studentId	Predmet	ECTS	Ocjene	PolozioDatum	Godina	SkolskaGodina	Semestar	Priznat	DatumUpisa	Spol	ZavrsenaSkolaId	SrednjaSkola	OpstinaRodjenja	GodinaZavrsetka	NacinStudiranja	OptinaPrebivalista	DatumDiplomiranja
16571	P-142	7	priznato	12/11/2017	1	2018/2019	1	DA	11/7/2018	M	10	Katolički školski centar	Zenica	2007/08	DL	Mostar	
16572	P-142	7	6	10/1/2018	1	2018/2019	1	DA	11/7/2018	M	1	Gimnazija	Bihać	2010/2011	DL	Sarajevo - Centar	
16570	P-142	7	8	10/1/2018	1	2018/2019	1	DA	11/7/2018	M	13	Tehnička	Banovići	2008/09	DL	Mostar	
16573	P-142	7	8	10/1/2018	1	2018/2019	1	DA	11/7/2018	Ž	1	Gimnazija	Mostar	2010/2011	DL	Bugojno	
16576	P-142	7	7	10/1/2018	1	2018/2019	1	DA	11/7/2018	M	1	Gimnazija	Mostar	2006/2007	DL	Mostar	
16580	P-142	7	6	10/1/2018	1	2018/2019	1	DA	11/9/2018	M	2	Elektrotehnička	Mostar	2012/13	DL	Mostar	
16581	P-142	7	6	10/1/2018	1	2018/2019	1	DA	11/9/2018	M	2	Elektrotehnička	Mostar	2008/09	DL	Mostar	
16582	P-142	7	6	10/1/2018	1	2018/2019	1	DA	11/9/2018	M	3	Mašinska	Doboj	2002/03	DL	Sarajevo-Novo Sarajevo	
16583	P-142	7	8	10/1/2018	1	2018/2019	1	DA	11/9/2018	M	13	Tehnička	Bugojno	2012/13	DL	Gornji Vakuf - Uskoplje	
16584	P-142	7	priznato	10/1/2018	1	2018/2019	1	DA	11/9/2018	M	13	Tehnička	Zenica	2010/11	DL	Zenica	
16579	P-142	7	8	10/1/2018	1	2018/2019	1	DA	11/8/2018	M	1	Gimnazija	Sarajevo - Centar	2010/2011	DL	Sarajevo - Novi grad	9/6/2021
16587	P-142	7	7	10/1/2018	1	2018/2019	1	DA	11/14/2018	M	23	Mješovita srednja škola	Sarajevo - Centar	1999/2000	DL	Sarajevo - Centar	
16591	P-142	7	priznato	10/1/2018	1	2018/2019	1	DA	11/16/2018	M	1	Gimnazija	Bihać	2011/2012	DL	Bosanska Krupa	
17589	P-142	7	priznato	10/1/2018	1	2018/2019	1	DA	11/19/2018	M	1	Gimnazija	Sarajevo - Centar	2008/09	DL	Sarajevo-Novo Sarajevo	
17591	P-142	7	9	10/1/2018	1	2018/2019	1	DA	11/19/2018	M	1	Gimnazija	Tuzla	2007/08	DL	Srebrenik	
17592	P-142	7	7	10/1/2018	1	2018/2019	1	DA	11/19/2018	M	1	Gimnazija	Sarajevo - Centar	2013/14	DL	Hadžići	4/3/2021
17593	P-142	7	7	10/1/2018	1	2018/2019	1	DA	11/19/2018	M	2	Elektrotehnička	Bihać	2011/12	DL	Bihać	
17594	P-142	7	10	10/1/2018	1	2018/2019	1	DA	11/20/2018	M	2	Elektrotehnička	Mostar	2008/2009	DL	Sarajevo-Novo Sarajevo	
17595	P-142	7	priznato	12/11/2017	1	2018/2019	1	DA	11/20/2018	M	2	Elektrotehnička	Sarajevo - Centar	2006/2007	DL	Vogošća	
17596	P-142	7	9	10/1/2018	1	2018/2019	1	DA	11/20/2018	M			Tuzla		DL	Sarajevo-Novo Sarajevo	6/21/2019
17597	P-142	7	6	10/1/2018	1	2018/2019	1	DA	11/23/2018	M	1	Gimnazija	Bihać	2003/2004	DL	Mostar	
