studentId	Predmet	BrojKredita	Ocjene	PolozioDatum	Godina	SkolskaGodina	Semestar	Priznat	DatumUpisa	Spol	ZavrsenaSkolaId	SrednjaSkola	OpstinaRodjenja	GodinaZavrsetka	NacinStudiranja	OpstinaPrebivalista	Diplomirao
16571	P-142	7	7	12/11/2017	1	2018/2019	1	1	11/7/2018	M	10	Katolički školski centar	Zenica	2007/08	DL	Mostar	0
16572	P-142	7	6	10/1/2018	1	2018/2019	1	1	11/7/2018	M	1	Gimnazija	Bihać	2010/2011	DL	Sarajevo - Centar	0
16570	P-142	7	8	10/1/2018	1	2018/2019	1	1	11/7/2018	M	13	Tehnička	Banovići	2008/09	DL	Mostar	0
16573	P-142	7	8	10/1/2018	1	2018/2019	1	1	11/7/2018	Ž	1	Gimnazija	Mostar	2010/2011	DL	Bugojno	0
16576	P-142	7	7	10/1/2018	1	2018/2019	1	1	11/7/2018	M	1	Gimnazija	Mostar	2006/2007	DL	Mostar	0
16580	P-142	7	6	10/1/2018	1	2018/2019	1	1	11/9/2018	M	2	Elektrotehnička	Mostar	2012/13	DL	Mostar	0
16581	P-142	7	6	10/1/2018	1	2018/2019	1	1	11/9/2018	M	2	Elektrotehnička	Mostar	2008/09	DL	Mostar	0
16582	P-142	7	6	10/1/2018	1	2018/2019	1	1	11/9/2018	M	3	Mašinska	Doboj	2002/03	DL	Sarajevo-Novo Sarajevo	0
16583	P-142	7	8	10/1/2018	1	2018/2019	1	1	11/9/2018	M	13	Tehnička	Bugojno	2012/13	DL	Gornji Vakuf - Uskoplje	0
16584	P-142	7	7	10/1/2018	1	2018/2019	1	1	11/9/2018	M	13	Tehnička	Zenica	2010/11	DL	Zenica	0
16579	P-142	7	8	10/1/2018	1	2018/2019	1	1	11/8/2018	M	1	Gimnazija	Sarajevo - Centar	2010/2011	DL	Sarajevo - Novi grad	1
16587	P-142	7	7	10/1/2018	1	2018/2019	1	1	11/14/2018	M	23	Mješovita srednja škola	Sarajevo - Centar	1999/2000	DL	Sarajevo - Centar	0
